Date;individuals
02.02.2020;396
03.02.2020;0
04.02.2020;0
05.02.2020;0
06.02.2020;0
07.02.2020;0
08.02.2020;0
09.02.2020;0
10.02.2020;0
11.02.2020;26
12.02.2020;0
13.02.2020;158
14.02.2020;75
15.02.2020;4
16.02.2020;11
17.02.2020;30
18.02.2020;10
19.02.2020;0
20.02.2020;0
21.02.2020;0
22.02.2020;0
23.02.2020;276
24.02.2020;0
25.02.2020;18
26.02.2020;0
27.02.2020;194
28.02.2020;0
29.02.2020;0
01.03.2020;0
02.03.2020;0
03.03.2020;0
04.03.2020;0
05.03.2020;0
06.03.2020;0
07.03.2020;0
08.03.2020;0
09.03.2020;0
10.03.2020;0
11.03.2020;0
12.03.2020;57
13.03.2020;85
14.03.2020;43
15.03.2020;0
16.03.2020;0
17.03.2020;0
18.03.2020;0
19.03.2020;0
20.03.2020;0
21.03.2020;0
22.03.2020;12
23.03.2020;0
24.03.2020;0
25.03.2020;0
26.03.2020;0
27.03.2020;44
28.03.2020;0
29.03.2020;0
30.03.2020;0
31.03.2020;0
01.04.2020;0
02.04.2020;0
03.04.2020;0
04.04.2020;0
05.04.2020;0
06.04.2020;34
07.04.2020;0
08.04.2020;143
09.04.2020;7
10.04.2020;73
11.04.2020;0
12.04.2020;101
13.04.2020;77
14.04.2020;0
15.04.2020;3
16.04.2020;6
17.04.2020;1
18.04.2020;38
19.04.2020;0
20.04.2020;0
21.04.2020;0
22.04.2020;0
23.04.2020;32
24.04.2020;0
25.04.2020;0
26.04.2020;56
27.04.2020;0
28.04.2020;100
29.04.2020;0
30.04.2020;0
01.05.2020;0
02.05.2020;78
03.05.2020;44
04.05.2020;180
05.05.2020;146
06.05.2020;192
07.05.2020;0
08.05.2020;0
09.05.2020;79
10.05.2020;0
11.05.2020;0
12.05.2020;0
13.05.2020;53
14.05.2020;0
15.05.2020;0
16.05.2020;68
17.05.2020;0
18.05.2020;2
19.05.2020;0
20.05.2020;137
21.05.2020;0
22.05.2020;1
23.05.2020;102
24.05.2020;190
25.05.2020;40
26.05.2020;71
27.05.2020;0
28.05.2020;186
29.05.2020;0
30.05.2020;0
31.05.2020;85
01.06.2020;36
02.06.2020;144
03.06.2020;44
04.06.2020;103
05.06.2020;0
06.06.2020;0
07.06.2020;26
08.06.2020;0
09.06.2020;0
10.06.2020;0
11.06.2020;49
12.06.2020;5
